Node_A,Node_B,Total_Weight,Source_Breakdown
praj ramit,ramit dayam,2,Prajnaparamita-:2
edward conze,ramit dayam,1,Prajnaparamita-:1
edited edward,ramit dayam,1,Prajnaparamita-:1
conze translated,ramit dayam,1,Prajnaparamita-:1
nandajoti bhikkhu,ramit dayam,1,Prajnaparamita-:1
ramit dayam,translated nandajoti,1,Prajnaparamita-:1
ROOT_ACCESS,ramit dayam,2,Prajnaparamita-:2
dayam heart,ramit dayam,1,Prajnaparamita-:1
edward conze,praj ramit,1,Prajnaparamita-:1
edited edward,praj ramit,1,Prajnaparamita-:1
conze translated,praj ramit,1,Prajnaparamita-:1
nandajoti bhikkhu,praj ramit,1,Prajnaparamita-:1
praj ramit,translated nandajoti,1,Prajnaparamita-:1
ROOT_ACCESS,praj ramit,7,Prajnaparamita-:7
dayam heart,praj ramit,1,Prajnaparamita-:1
edited edward,edward conze,1,Prajnaparamita-:1
conze translated,edward conze,1,Prajnaparamita-:1
edward conze,nandajoti bhikkhu,1,Prajnaparamita-:1
edward conze,translated nandajoti,1,Prajnaparamita-:1
ROOT_ACCESS,edward conze,1,Prajnaparamita-:1
dayam heart,edward conze,1,Prajnaparamita-:1
conze translated,edited edward,1,Prajnaparamita-:1
edited edward,nandajoti bhikkhu,1,Prajnaparamita-:1
edited edward,translated nandajoti,1,Prajnaparamita-:1
ROOT_ACCESS,edited edward,1,Prajnaparamita-:1
dayam heart,edited edward,1,Prajnaparamita-:1
conze translated,nandajoti bhikkhu,1,Prajnaparamita-:1
conze translated,translated nandajoti,1,Prajnaparamita-:1
ROOT_ACCESS,conze translated,1,Prajnaparamita-:1
conze translated,dayam heart,1,Prajnaparamita-:1
nandajoti bhikkhu,translated nandajoti,1,Prajnaparamita-:1
ROOT_ACCESS,nandajoti bhikkhu,1,Prajnaparamita-:1
dayam heart,nandajoti bhikkhu,1,Prajnaparamita-:1
ROOT_ACCESS,translated nandajoti,1,Prajnaparamita-:1
dayam heart,translated nandajoti,1,Prajnaparamita-:1
ROOT_ACCESS,dayam heart,1,Prajnaparamita-:1
-praj ramit,ramit yai,1,Prajnaparamita-:1
namo bhagavatyai,ramit yai,1,Prajnaparamita-:1
bhagavatyai rya,ramit yai,1,Prajnaparamita-:1
ramit yai,rya -praj,1,Prajnaparamita-:1
-praj ramit,namo bhagavatyai,1,Prajnaparamita-:1
-praj ramit,bhagavatyai rya,1,Prajnaparamita-:1
-praj ramit,rya -praj,1,Prajnaparamita-:1
bhagavatyai rya,namo bhagavatyai,1,Prajnaparamita-:1
namo bhagavatyai,rya -praj,1,Prajnaparamita-:1
bhagavatyai rya,rya -praj,1,Prajnaparamita-:1
ramit cary,svabh yati,1,Prajnaparamita-:1
MIND_CONCEPT,ramit cary,1,Prajnaparamita-:1
ramit cary,reverence fortunate,1,Prajnaparamita-:1
ramit cary,vyavalokayati sma,1,Prajnaparamita-:1
constituent groups,ramit cary,1,Prajnaparamita-:1
ramit cary,varo dhisattvo,1,Prajnaparamita-:1
ROOT_ACCESS,ramit cary,1,Prajnaparamita-:1
